Block,Treatment,Number,Location,iButton,CredoSense
1,Tree,1,Top,5A1325,CS1
1,Tree,1,Bottom,5A1233,CS2
1,Tree,2,Top,5A177A,CS3
1,Tree,2,Bottom,5A1927,CS4
1,Tree,3,Top,5A23F1,CS5
1,Tree,3,Bottom,5A283B,CS6
1,Shrub,1,Top,5A1A9A,CS7
1,Shrub,1,Bottom,5A8AE,CS8
1,Shrub,2,Top,5A12F2,CS9
1,Shrub,2,Bottom,5A06F8,CS10
1,Shrub,3,Top,5A16BF,CS11
1,Shrub,3,Bottom,59FE8B,CS12
1,Meadow,1,Top,5A1082,CS13
1,Meadow,1,Bottom,5A107D,CS14
1,Meadow,2,Top,59F9IF,CS15
1,Meadow,2,Bottom,5A25AA,CS16
1,Meadow,3,Top,5A06FC,CS17
1,Meadow,3,Bottom,5A0699,CS18
2,Tree,1,Top,5A1AD4,CS19
2,Tree,1,Bottom,5A1E45,CS20
2,Tree,2,Top,5A01AF,CS21
2,Tree,2,Bottom,59FA0B,CS22
2,Tree,3,Top,5A060B,CS23
2,Tree,3,Bottom,59FBA6,CS24
2,Shrub,1,Top,5A25FB,CS25
2,Shrub,1,Bottom,59F801,CS26
2,Shrub,2,Top,5A29A0,CS27
2,Shrub,2,Bottom,5A0871,CS28
2,Shrub,3,Top,5A209E,CS29
2,Shrub,3,Bottom,5A0C94,CS30
2,Meadow,1,Top,5A24DC,CS31
2,Meadow,1,Bottom,5A07DF,CS32
2,Meadow,2,Top,5A20A2,CS33
2,Meadow,2,Bottom,5A0DC2,CS34
2,Meadow,3,Top,5A2415,CS35
2,Meadow,3,Bottom,5A01B6,CS36
3,Tree,1,Top,5A1BEB,CS37
3,Tree,1,Bottom,5A1EE4,CS38
3,Tree,2,Top,5A1DE9,CS39
3,Tree,2,Bottom,59FB1F,CS40
3,Tree,3,Top,5A28E6,CS41
3,Tree,3,Bottom,5A191C,CS42
3,Shrub,1,Top,5A0DAA,CS43
3,Shrub,1,Bottom,5A0701,CS44
3,Shrub,2,Top,521A9,CS45
3,Shrub,2,Bottom,5A1CB7,CS46
3,Shrub,3,Top,5A0E78,CS47
3,Shrub,3,Bottom,5A1941,CS48
3,Meadow,1,Top,5A02FA,CS49
3,Meadow,1,Bottom,5A24D6,CS50
3,Meadow,2,Top,5A07E4,CS51
3,Meadow,2,Bottom,5A147C,CS52
3,Meadow,3,Top,5A187B,CS53
3,Meadow,3,Bottom,5A06AD,CS54
4,Tree,1,Top,5A1EB1,CS55
4,Tree,1,Bottom,5A1A32,CS56
4,Tree,2,Top,5A25D0,CS57
4,Tree,2,Bottom,5A11DF,CS58
4,Tree,3,Top,5A162A,CS59
4,Tree,3,Bottom,5A0CFC,CS60
4,Shrub,1,Top,5A149E,CS61
4,Shrub,1,Bottom,59F8A5,CS62
4,Shrub,2,Top,5A1CC5,CS63
4,Shrub,2,Bottom,5A2761,CS64
4,Shrub,3,Top,5A1E8F,CS65
4,Shrub,3,Bottom,5A1DDB,CS66
4,Meadow,1,Top,5A1327,CS67
4,Meadow,1,Bottom,5A16DB,CS68
4,Meadow,2,Top,5A04E2,CS69
4,Meadow,2,Bottom,58FDCD,CS70
4,Meadow,3,Top,5A03E6,CS71
4,Meadow,3,Bottom,5A1C54,CS72
5,Tree,1,Top,5A193A,CS73
5,Tree,1,Bottom,5A263C,CS74
5,Tree,2,Top,5A14E5,CS75
5,Tree,2,Bottom,5A00L7,CS76
5,Tree,3,Top,5AOE99,CS77
5,Tree,3,Bottom,5A1CDF,CS78
5,Shrub,1,Top,5A1264,CS79
5,Shrub,1,Bottom,5A2476,CS80
5,Shrub,2,Top,5A0E8C,CS81
5,Shrub,2,Bottom,59F684,CS82
5,Shrub,3,Top,5A17EC,CS83
5,Shrub,3,Bottom,5A252E,CS84
5,Meadow,1,Top,5A296B,CS85
5,Meadow,1,Bottom,59FA81,CS86
5,Meadow,2,Top,5A1F48,CS87
5,Meadow,2,Bottom,5A1489,CS88
5,Meadow,3,Top,5AOE13,CS89
5,Meadow,3,Bottom,5A282A,CS90
